#date+time,005-atp
"01-09-2023 2000",19.1
"01-09-2023 2100",18.9
"01-09-2023 2200",19.0
"01-09-2023 2300",18.6
"01-10-2023 0000",18.6
"01-10-2023 0100",17.8
"01-10-2023 0200",17.7
"01-10-2023 0300",17.8
"01-10-2023 0400",17.9
"01-10-2023 0500",18.1
"01-10-2023 0600",18.1
"01-10-2023 0700",17.8
"01-10-2023 0800",17.7
"01-10-2023 0900",17.3
"01-10-2023 1000",17.1
"01-10-2023 1100",17.3
"01-10-2023 1200",16.9
"01-10-2023 1300",16.6
"01-10-2023 1400",16.9
"01-10-2023 1500",17.4
"01-10-2023 1600",17.9
"01-10-2023 1700",18.4
"01-10-2023 1800",19.5
"01-10-2023 1900",22.1
"01-10-2023 2000",20.5
"01-10-2023 2100",19.5
"01-10-2023 2200",19.7
"01-10-2023 2300",19.1
"01-11-2023 0000",19.1
"01-11-2023 0100",19.2
"01-11-2023 0200",19.3
"01-11-2023 0300",19.3
"01-11-2023 0400",19.8
"01-11-2023 0500",19.8
"01-11-2023 0600",19.1
"01-11-2023 0700",19.3
"01-11-2023 0800",19.0
"01-11-2023 0900",19.6
"01-11-2023 1000",19.4
"01-11-2023 1100",19.2
"01-11-2023 1200",19.4
"01-11-2023 1300",19.0
"01-11-2023 1400",18.8
"01-11-2023 1500",19.3
"01-11-2023 1600",20.8
"01-11-2023 1700",22.4
"01-11-2023 1800",23.0
"01-11-2023 1900",23.1
"01-11-2023 2000",23.3
"01-11-2023 2100",22.9
"01-11-2023 2200",22.2
"01-11-2023 2300",21.7
"01-12-2023 0000",21.0
"01-12-2023 0100",21.1
"01-12-2023 0200",21.0
"01-12-2023 0300",20.4
"01-12-2023 0400",19.9
"01-12-2023 0500",19.7
"01-12-2023 0600",19.5
"01-12-2023 0700",19.3
"01-12-2023 0800",19.3
"01-12-2023 0900",19.1
"01-12-2023 1000",18.8
"01-12-2023 1100",20.3
"01-12-2023 1200",20.1
"01-12-2023 1300",21.2
"01-12-2023 1400",20.0
"01-12-2023 1500",19.6
"01-12-2023 1600",19.5
"01-12-2023 1700",19.3
"01-12-2023 1800",19.4
"01-12-2023 1900",19.7
"01-12-2023 2000",19.9
"01-12-2023 2100",20.1
"01-12-2023 2200",19.7
"01-12-2023 2300",18.9
"01-13-2023 0000",17.6
"01-13-2023 0100",17.5
"01-13-2023 0200",17.2
"01-13-2023 0300",16.8
"01-13-2023 0400",16.4
"01-13-2023 0500",16.0
"01-13-2023 0600",16.0
"01-13-2023 0700",15.4
"01-13-2023 0800",14.0
"01-13-2023 0900",13.1
"01-13-2023 1000",12.7
"01-13-2023 1100",12.4
"01-13-2023 1200",11.8
"01-13-2023 1300",11.5
"01-13-2023 1400",11.5
"01-13-2023 1500",11.9
"01-13-2023 1600",11.8
"01-13-2023 1700",12.5
"01-13-2023 1800",13.9
"01-13-2023 1900",14.9
"01-13-2023 2000",15.6
"01-13-2023 2100",16.0
"01-13-2023 2200",16.7
"01-13-2023 2300",15.6
"01-14-2023 0000",15.1
"01-14-2023 0100",14.7
"01-14-2023 0200",14.7
"01-14-2023 0300",14.6
"01-14-2023 0400",14.3
"01-14-2023 0500",13.9
"01-14-2023 0600",13.8
"01-14-2023 0700",13.5
"01-14-2023 0800",13.3
"01-14-2023 0900",13.1
"01-14-2023 1000",13.0
"01-14-2023 1100",12.7
"01-14-2023 1200",12.8
"01-14-2023 1300",12.6
"01-14-2023 1400",13.0
"01-14-2023 1500",13.7
"01-14-2023 1600",15.4
"01-14-2023 1700",17.5
"01-14-2023 1800",18.1
"01-14-2023 1900",18.0
"01-14-2023 2000",18.3
"01-14-2023 2100",18.8
"01-14-2023 2200",19.1
"01-14-2023 2300",18.3
"01-15-2023 0000",17.5
"01-15-2023 0100",16.8
"01-15-2023 0200",16.3
"01-15-2023 0300",16.3
"01-15-2023 0400",16.4
"01-15-2023 0500",16.3
"01-15-2023 0600",16.6
"01-15-2023 0700",17.4
"01-15-2023 0800",17.2
"01-15-2023 0900",17.5
"01-15-2023 1000",17.1
"01-15-2023 1100",17.5
"01-15-2023 1200",17.0
"01-15-2023 1300",17.3
"01-15-2023 1400",18.1
"01-15-2023 1500",19.0
"01-15-2023 1600",20.0
"01-15-2023 1700",20.7
"01-15-2023 1800",20.7
"01-15-2023 1900",20.9
"01-15-2023 2000",20.9
"01-15-2023 2100",21.1
"01-15-2023 2200",20.9
"01-15-2023 2300",20.3
"01-16-2023 0000",19.5
"01-16-2023 0100",19.5
"01-16-2023 0200",19.2
"01-16-2023 0300",19.1
"01-16-2023 0400",19.1
"01-16-2023 0500",19.2
"01-16-2023 0600",19.1
