#date+time,013-atp
"01-09-2022 2000",23.6
"01-09-2022 2100",24.4
"01-09-2022 2200",22.6
"01-09-2022 2300",21.0
"01-10-2022 0000",20.2
"01-10-2022 0100",19.5
"01-10-2022 0200",17.9
"01-10-2022 0300",17.1
"01-10-2022 0400",15.7
"01-10-2022 0500",14.1
"01-10-2022 0600",13.7
"01-10-2022 0700",13.1
"01-10-2022 0800",12.7
"01-10-2022 0900",12.3
"01-10-2022 1000",12.2
"01-10-2022 1100",12.4
"01-10-2022 1200",12.3
"01-10-2022 1300",12.2
"01-10-2022 1400",11.9
"01-10-2022 1500",11.5
"01-10-2022 1600",11.2
"01-10-2022 1700",11.7
"01-10-2022 1800",11.9
"01-10-2022 1900",13.1
"01-10-2022 2000",13.9
"01-10-2022 2100",15.0
"01-10-2022 2200",15.4
"01-10-2022 2300",15.7
"01-11-2022 0000",15.6
"01-11-2022 0100",15.2
"01-11-2022 0200",NA
"01-11-2022 0300",14.5
"01-11-2022 0400",14.4
"01-11-2022 0500",13.6
"01-11-2022 0600",13.2
"01-11-2022 0700",12.5
"01-11-2022 0800",12.3
"01-11-2022 0900",11.8
"01-11-2022 1000",11.4
"01-11-2022 1100",11.0
"01-11-2022 1200",10.7
"01-11-2022 1300",10.5
"01-11-2022 1400",10.3
"01-11-2022 1500",10.7
"01-11-2022 1600",11.0
"01-11-2022 1700",11.0
"01-11-2022 1800",11.4
"01-11-2022 1900",12.6
"01-11-2022 2000",13.5
"01-11-2022 2100",14.1
"01-11-2022 2200",14.7
"01-11-2022 2300",15.1
"01-12-2022 0000",15.3
"01-12-2022 0100",15.5
"01-12-2022 0200",15.4
"01-12-2022 0300",15.4
"01-12-2022 0400",15.5
"01-12-2022 0500",15.7
"01-12-2022 0600",15.5
"01-12-2022 0700",14.9
"01-12-2022 0800",NA
"01-12-2022 0900",14.2
"01-12-2022 1000",13.4
"01-12-2022 1100",13.4
"01-12-2022 1200",13.3
"01-12-2022 1300",12.8
"01-12-2022 1400",12.7
"01-12-2022 1500",12.9
"01-12-2022 1600",12.9
"01-12-2022 1700",12.5
"01-12-2022 1800",12.9
"01-12-2022 1900",13.8
"01-12-2022 2000",14.4
"01-12-2022 2100",15.0
"01-12-2022 2200",14.8
"01-12-2022 2300",15.0
"01-13-2022 0000",15.0
"01-13-2022 0100",15.2
"01-13-2022 0200",15.3
"01-13-2022 0300",15.3
"01-13-2022 0400",15.1
"01-13-2022 0500",15.3
"01-13-2022 0600",14.8
"01-13-2022 0700",14.5
"01-13-2022 0800",13.3
"01-13-2022 0900",13.2
"01-13-2022 1000",12.2
"01-13-2022 1100",12.1
"01-13-2022 1200",12.3
"01-13-2022 1300",12.3
"01-13-2022 1400",12.0
"01-13-2022 1500",12.5
"01-13-2022 1600",14.0
"01-13-2022 1700",15.8
"01-13-2022 1800",17.8
"01-13-2022 1900",18.9
"01-13-2022 2000",20.4
"01-13-2022 2100",19.3
"01-13-2022 2200",18.9
"01-13-2022 2300",18.9
"01-14-2022 0000",17.4
"01-14-2022 0100",16.3
"01-14-2022 0200",16.2
"01-14-2022 0300",16.2
"01-14-2022 0400",16.3
"01-14-2022 0500",15.9
"01-14-2022 0600",15.8
"01-14-2022 0700",15.8
"01-14-2022 0800",15.6
"01-14-2022 0900",14.8
"01-14-2022 1000",14.5
"01-14-2022 1100",12.8
"01-14-2022 1200",12.0
"01-14-2022 1300",10.8
"01-14-2022 1400",12.7
"01-14-2022 1500",13.7
"01-14-2022 1600",14.1
"01-14-2022 1700",14.3
"01-14-2022 1800",14.8
"01-14-2022 1900",18.1
"01-14-2022 2000",18.8
"01-14-2022 2100",19.9
"01-14-2022 2200",19.9
"01-14-2022 2300",19.8
"01-15-2022 0000",19.0
"01-15-2022 0100",19.0
"01-15-2022 0200",18.8
"01-15-2022 0300",19.1
"01-15-2022 0400",18.9
"01-15-2022 0500",18.7
"01-15-2022 0600",18.6
"01-15-2022 0700",18.6
"01-15-2022 0800",17.8
"01-15-2022 0900",17.8
"01-15-2022 1000",17.8
"01-15-2022 1100",17.6
"01-15-2022 1200",17.7
"01-15-2022 1300",16.3
"01-15-2022 1400",15.0
"01-15-2022 1500",13.5
"01-15-2022 1600",12.9
"01-15-2022 1700",12.5
"01-15-2022 1800",12.7
"01-15-2022 1900",14.4
"01-15-2022 2000",15.4
"01-15-2022 2100",16.1
"01-15-2022 2200",16.2
"01-15-2022 2300",16.2
"01-16-2022 0000",14.8
"01-16-2022 0100",13.6
"01-16-2022 0200",NA
"01-16-2022 0300",11.2
"01-16-2022 0400",10.3
"01-16-2022 0500",9.8
"01-16-2022 0600",9.0
"01-16-2022 0700",8.8
"01-16-2022 0800",7.5
"01-16-2022 0900",7.5
"01-16-2022 1000",7.5
"01-16-2022 1100",7.4
"01-16-2022 1200",6.5
"01-16-2022 1300",6.3
"01-16-2022 1400",6.1
"01-16-2022 1500",7.1
"01-16-2022 1600",8.8
"01-16-2022 1700",9.8
"01-16-2022 1800",11.2
"01-16-2022 1900",12.8
"01-16-2022 2000",14.2
"01-16-2022 2100",15.5
"01-16-2022 2200",16.4
"01-16-2022 2300",15.0
"01-17-2022 0000",13.2
"01-17-2022 0100",12.7
"01-17-2022 0200",NA
"01-17-2022 0300",12.7
"01-17-2022 0400",12.7
"01-17-2022 0500",12.7
"01-17-2022 0600",13.1
"01-17-2022 0700",12.1
"01-17-2022 0800",12.6
"01-17-2022 0900",10.7
"01-17-2022 1000",8.6
"01-17-2022 1100",8.3
"01-17-2022 1200",8.1
"01-17-2022 1300",7.8
"01-17-2022 1400",8.3
"01-17-2022 1500",9.2
"01-17-2022 1600",10.5
"01-17-2022 1700",13.0
"01-17-2022 1800",15.1
"01-17-2022 1900",15.7
"01-17-2022 2000",18.5
"01-17-2022 2100",18.7
"01-17-2022 2200",18.3
"01-17-2022 2300",18.0
"01-18-2022 0000",16.4
"01-18-2022 0100",14.4
"01-18-2022 0200",15.4
"01-18-2022 0300",16.0
"01-18-2022 0400",15.4
"01-18-2022 0500",14.5
"01-18-2022 0600",16.3
"01-18-2022 0700",14.2
"01-18-2022 0800",14.3
"01-18-2022 0900",14.4
"01-18-2022 1000",14.2
"01-18-2022 1100",14.4
"01-18-2022 1200",15.4
"01-18-2022 1300",16.0
"01-18-2022 1400",16.6
"01-18-2022 1500",15.4
"01-18-2022 1600",19.1
"01-18-2022 1700",19.7
"01-18-2022 1800",20.1
"01-18-2022 1900",20.5
"01-18-2022 2000",21.0
"01-18-2022 2100",21.2
"01-18-2022 2200",21.1
"01-18-2022 2300",20.7
"01-19-2022 0000",19.9
"01-19-2022 0100",19.8
