#date+time,005-atp
"01-10-2011 1100",NA
"01-10-2011 1200",NA
"01-10-2011 1300",NA
"01-10-2011 1400",NA
"01-10-2011 1500",NA
"01-10-2011 1600",NA
"01-10-2011 1700",NA
"01-10-2011 1800",NA
"01-10-2011 1900",NA
"01-10-2011 2000",NA
"01-10-2011 2100",NA
"01-10-2011 2200",NA
"01-10-2011 2300",NA
"01-11-2011 0000",NA
"01-11-2011 0100",NA
"01-11-2011 0200",NA
"01-11-2011 0300",NA
"01-11-2011 0400",NA
"01-11-2011 0500",NA
"01-11-2011 0600",NA
"01-11-2011 0700",NA
"01-11-2011 0800",NA
"01-11-2011 0900",NA
"01-11-2011 1000",NA
"01-11-2011 1100",NA
"01-11-2011 1200",NA
"01-11-2011 1300",NA
"01-11-2011 1400",NA
"01-11-2011 1500",NA
"01-11-2011 1600",NA
"01-11-2011 1700",NA
"01-11-2011 1800",NA
"01-11-2011 1900",NA
"01-11-2011 2000",NA
"01-11-2011 2100",NA
"01-11-2011 2200",NA
"01-11-2011 2300",NA
"01-12-2011 0000",NA
"01-12-2011 0100",NA
"01-12-2011 0200",NA
"01-12-2011 0300",NA
"01-12-2011 0400",NA
"01-12-2011 0500",NA
"01-12-2011 0600",NA
"01-12-2011 0700",NA
"01-12-2011 0800",NA
"01-12-2011 0900",NA
"01-12-2011 1000",NA
"01-12-2011 1100",NA
"01-12-2011 1200",NA
"01-12-2011 1300",NA
"01-12-2011 1400",NA
"01-12-2011 1500",NA
"01-12-2011 1600",NA
"01-12-2011 1700",NA
"01-12-2011 1800",NA
"01-12-2011 1900",NA
"01-12-2011 2000",NA
"01-12-2011 2100",NA
"01-12-2011 2200",NA
"01-12-2011 2300",NA
"01-13-2011 0000",NA
"01-13-2011 0100",NA
"01-13-2011 0200",NA
"01-13-2011 0300",NA
"01-13-2011 0400",NA
"01-13-2011 0500",NA
"01-13-2011 0600",NA
"01-13-2011 0700",NA
"01-13-2011 0800",NA
"01-13-2011 0900",NA
"01-13-2011 1000",NA
"01-13-2011 1100",NA
"01-13-2011 1200",NA
"01-13-2011 1300",NA
"01-13-2011 1400",NA
"01-13-2011 1500",NA
"01-13-2011 1600",NA
"01-13-2011 1700",NA
"01-13-2011 1800",NA
"01-13-2011 1900",NA
"01-13-2011 2000",NA
"01-13-2011 2100",NA
"01-13-2011 2200",NA
"01-13-2011 2300",NA
"01-14-2011 0000",NA
"01-14-2011 0100",NA
"01-14-2011 0200",NA
"01-14-2011 0300",NA
"01-14-2011 0400",NA
"01-14-2011 0500",NA
"01-14-2011 0600",NA
"01-14-2011 0700",NA
"01-14-2011 0800",NA
"01-14-2011 0900",NA
"01-14-2011 1000",NA
"01-14-2011 1100",NA
"01-14-2011 1200",NA
"01-14-2011 1300",NA
"01-14-2011 1400",NA
"01-14-2011 1500",NA
"01-14-2011 1600",NA
"01-14-2011 1700",NA
"01-14-2011 1800",NA
"01-14-2011 1900",NA
"01-14-2011 2000",NA
"01-14-2011 2100",NA
"01-14-2011 2200",NA
"01-14-2011 2300",NA
"01-15-2011 0000",NA
"01-15-2011 0100",NA
"01-15-2011 0200",NA
"01-15-2011 0300",NA
"01-15-2011 0400",NA
"01-15-2011 0500",NA
"01-15-2011 0600",NA
"01-15-2011 0700",NA
"01-15-2011 0800",NA
"01-15-2011 0900",NA
"01-15-2011 1000",NA
"01-15-2011 1100",NA
"01-15-2011 1200",NA
"01-15-2011 1300",NA
"01-15-2011 1400",NA
"01-15-2011 1500",NA
"01-15-2011 1600",NA
"01-15-2011 1700",NA
"01-15-2011 1800",NA
"01-15-2011 1900",NA
"01-15-2011 2000",NA
"01-15-2011 2100",NA
"01-15-2011 2200",NA
"01-15-2011 2300",NA
"01-16-2011 0000",NA
"01-16-2011 0100",NA
"01-16-2011 0200",NA
"01-16-2011 0300",NA
"01-16-2011 0400",NA
"01-16-2011 0500",NA
"01-16-2011 0600",NA
"01-16-2011 0700",NA
"01-16-2011 0800",NA
"01-16-2011 0900",NA
"01-16-2011 1000",NA
"01-16-2011 1100",NA
"01-16-2011 1200",NA
"01-16-2011 1300",NA
"01-16-2011 1400",NA
"01-16-2011 1500",NA
"01-16-2011 1600",NA
"01-16-2011 1700",NA
"01-16-2011 1800",NA
"01-16-2011 1900",NA
"01-16-2011 2000",NA
"01-16-2011 2100",NA
"01-16-2011 2200",NA
"01-16-2011 2300",NA
"01-17-2011 0000",NA
"01-17-2011 0100",NA
"01-17-2011 0200",NA
"01-17-2011 0300",NA
"01-17-2011 0400",NA
"01-17-2011 0500",NA
"01-17-2011 0600",NA
"01-17-2011 0700",NA
"01-17-2011 0800",NA
"01-17-2011 0900",NA
"01-17-2011 1000",NA
"01-17-2011 1100",NA
"01-17-2011 1200",NA
"01-17-2011 1300",NA
"01-17-2011 1400",NA
"01-17-2011 1500",NA
"01-17-2011 1600",NA
"01-17-2011 1700",NA
"01-17-2011 1800",NA
"01-17-2011 1900",NA
"01-17-2011 2000",NA
"01-17-2011 2100",NA
"01-17-2011 2200",NA
"01-17-2011 2300",NA
"01-18-2011 0000",NA
"01-18-2011 0100",NA
"01-18-2011 0200",NA
"01-18-2011 0300",NA
"01-18-2011 0400",NA
"01-18-2011 0500",NA
"01-18-2011 0600",NA
"01-18-2011 0700",NA
"01-18-2011 0800",NA
"01-18-2011 0900",NA
"01-18-2011 1000",NA
"01-18-2011 1100",NA
"01-18-2011 1200",NA
"01-18-2011 1300",NA
"01-18-2011 1400",NA
"01-18-2011 1500",NA
"01-18-2011 1600",NA
"01-18-2011 1700",NA
"01-18-2011 1800",NA
"01-18-2011 1900",NA
"01-18-2011 2000",NA
"01-18-2011 2100",NA
"01-18-2011 2200",NA
"01-18-2011 2300",NA
"01-19-2011 0000",NA
"01-19-2011 0100",NA
"01-19-2011 0200",NA
"01-19-2011 0300",NA
"01-19-2011 0400",NA
"01-19-2011 0500",NA
"01-19-2011 0600",NA
"01-19-2011 0700",NA
"01-19-2011 0800",NA
"01-19-2011 0900",NA
"01-19-2011 1000",NA
"01-19-2011 1100",NA
"01-19-2011 1200",NA
"01-19-2011 1300",NA
"01-19-2011 1400",NA
"01-19-2011 1500",NA
"01-19-2011 1600",NA
"01-19-2011 1700",NA
"01-19-2011 1800",NA
"01-19-2011 1900",NA
"01-19-2011 2000",NA
"01-19-2011 2100",NA
"01-19-2011 2200",NA
"01-19-2011 2300",NA
"01-20-2011 0000",NA
"01-20-2011 0100",NA
"01-20-2011 0200",NA
"01-20-2011 0300",NA
"01-20-2011 0400",NA
"01-20-2011 0500",NA
"01-20-2011 0600",NA
"01-20-2011 0700",NA
"01-20-2011 0800",NA
"01-20-2011 0900",NA
"01-20-2011 1000",NA
"01-20-2011 1100",NA
"01-20-2011 1200",NA
"01-20-2011 1300",NA
"01-20-2011 1400",NA
"01-20-2011 1500",NA
"01-20-2011 1600",NA
"01-20-2011 1700",NA
"01-20-2011 1800",NA
"01-20-2011 1900",NA
"01-20-2011 2000",NA
"01-20-2011 2100",NA
"01-20-2011 2200",NA
"01-20-2011 2300",NA
"01-21-2011 0000",NA
"01-21-2011 0100",NA
"01-21-2011 0200",NA
"01-21-2011 0300",NA
"01-21-2011 0400",NA
"01-21-2011 0500",NA
"01-21-2011 0600",NA
"01-21-2011 0700",NA
"01-21-2011 0800",NA
"01-21-2011 0900",NA
"01-21-2011 1000",NA
"01-21-2011 1100",NA
"01-21-2011 1200",NA
"01-21-2011 1300",NA
"01-21-2011 1400",NA
"01-21-2011 1500",NA
"01-21-2011 1600",NA
"01-21-2011 1700",NA
"01-21-2011 1800",NA
"01-21-2011 1900",NA
"01-21-2011 2000",NA
"01-21-2011 2100",NA
"01-21-2011 2200",NA
"01-21-2011 2300",NA
"01-22-2011 0000",NA
"01-22-2011 0100",NA
"01-22-2011 0200",NA
"01-22-2011 0300",NA
"01-22-2011 0400",NA
"01-22-2011 0500",NA
"01-22-2011 0600",NA
"01-22-2011 0700",NA
"01-22-2011 0800",NA
"01-22-2011 0900",NA
"01-22-2011 1000",NA
"01-22-2011 1100",NA
"01-22-2011 1200",NA
"01-22-2011 1300",NA
"01-22-2011 1400",NA
"01-22-2011 1500",NA
"01-22-2011 1600",NA
"01-22-2011 1700",NA
"01-22-2011 1800",NA
"01-22-2011 1900",NA
"01-22-2011 2000",NA
"01-22-2011 2100",NA
"01-22-2011 2200",NA
"01-22-2011 2300",NA
"01-23-2011 0000",NA
"01-23-2011 0100",NA
"01-23-2011 0200",NA
"01-23-2011 0300",NA
"01-23-2011 0400",NA
"01-23-2011 0500",NA
"01-23-2011 0600",NA
"01-23-2011 0700",NA
"01-23-2011 0800",NA
"01-23-2011 0900",NA
"01-23-2011 1000",NA
"01-23-2011 1100",NA
"01-23-2011 1200",NA
"01-23-2011 1300",NA
"01-23-2011 1400",NA
"01-23-2011 1500",NA
"01-23-2011 1600",NA
"01-23-2011 1700",NA
"01-23-2011 1800",NA
"01-23-2011 1900",NA
"01-23-2011 2000",NA
"01-23-2011 2100",NA
"01-23-2011 2200",NA
"01-23-2011 2300",NA
"01-24-2011 0000",NA
"01-24-2011 0100",NA
"01-24-2011 0200",NA
"01-24-2011 0300",NA
"01-24-2011 0400",NA
"01-24-2011 0500",NA
"01-24-2011 0600",NA
"01-24-2011 0700",NA
"01-24-2011 0800",NA
"01-24-2011 0900",NA
"01-24-2011 1000",NA
"01-24-2011 1100",NA
"01-24-2011 1200",NA
"01-24-2011 1300",NA
"01-24-2011 1400",NA
"01-24-2011 1500",NA
"01-24-2011 1600",NA
"01-24-2011 1700",NA
"01-24-2011 1800",NA
"01-24-2011 1900",NA
"01-24-2011 2000",NA
"01-24-2011 2100",NA
"01-24-2011 2200",NA
"01-24-2011 2300",NA
"01-25-2011 0000",NA
"01-25-2011 0100",NA
"01-25-2011 0200",NA
"01-25-2011 0300",NA
"01-25-2011 0400",NA
"01-25-2011 0500",NA
"01-25-2011 0600",NA
"01-25-2011 0700",NA
"01-25-2011 0800",NA
"01-25-2011 0900",NA
"01-25-2011 1000",NA
"01-25-2011 1100",NA
"01-25-2011 1200",NA
"01-25-2011 1300",NA
"01-25-2011 1400",NA
"01-25-2011 1500",NA
"01-25-2011 1600",NA
"01-25-2011 1700",NA
"01-25-2011 1800",NA
"01-25-2011 1900",NA
"01-25-2011 2000",NA
"01-25-2011 2100",NA
"01-25-2011 2200",NA
"01-25-2011 2300",NA
"01-26-2011 0000",NA
"01-26-2011 0100",NA
"01-26-2011 0200",NA
"01-26-2011 0300",NA
"01-26-2011 0400",NA
"01-26-2011 0500",NA
"01-26-2011 0600",NA
"01-26-2011 0700",NA
"01-26-2011 0800",NA
"01-26-2011 0900",NA
"01-26-2011 1000",NA
"01-26-2011 1100",NA
"01-26-2011 1200",NA
"01-26-2011 1300",NA
"01-26-2011 1400",NA
"01-26-2011 1500",NA
"01-26-2011 1600",NA
"01-26-2011 1700",NA
"01-26-2011 1800",NA
"01-26-2011 1900",NA
"01-26-2011 2000",NA
"01-26-2011 2100",NA
"01-26-2011 2200",NA
"01-26-2011 2300",NA
"01-27-2011 0000",NA
"01-27-2011 0100",NA
"01-27-2011 0200",NA
"01-27-2011 0300",NA
"01-27-2011 0400",NA
"01-27-2011 0500",NA
"01-27-2011 0600",NA
"01-27-2011 0700",NA
"01-27-2011 0800",NA
"01-27-2011 0900",NA
"01-27-2011 1000",NA
"01-27-2011 1100",NA
"01-27-2011 1200",NA
"01-27-2011 1300",NA
"01-27-2011 1400",NA
"01-27-2011 1500",NA
"01-27-2011 1600",NA
"01-27-2011 1700",NA
"01-27-2011 1800",NA
"01-27-2011 1900",NA
"01-27-2011 2000",NA
"01-27-2011 2100",NA
"01-27-2011 2200",NA
"01-27-2011 2300",NA
"01-28-2011 0000",NA
"01-28-2011 0100",NA
"01-28-2011 0200",NA
"01-28-2011 0300",NA
"01-28-2011 0400",NA
"01-28-2011 0500",NA
"01-28-2011 0600",NA
"01-28-2011 0700",NA
"01-28-2011 0800",NA
"01-28-2011 0900",NA
"01-28-2011 1000",NA
"01-28-2011 1100",NA
"01-28-2011 1200",NA
"01-28-2011 1300",NA
"01-28-2011 1400",NA
"01-28-2011 1500",NA
"01-28-2011 1600",NA
"01-28-2011 1700",NA
"01-28-2011 1800",NA
"01-28-2011 1900",NA
"01-28-2011 2000",NA
"01-28-2011 2100",NA
"01-28-2011 2200",NA
"01-28-2011 2300",NA
"01-29-2011 0000",NA
"01-29-2011 0100",NA
"01-29-2011 0200",NA
"01-29-2011 0300",NA
"01-29-2011 0400",NA
"01-29-2011 0500",NA
"01-29-2011 0600",NA
"01-29-2011 0700",NA
"01-29-2011 0800",NA
"01-29-2011 0900",NA
"01-29-2011 1000",NA
"01-29-2011 1100",NA
"01-29-2011 1200",NA
"01-29-2011 1300",NA
"01-29-2011 1400",NA
"01-29-2011 1500",NA
"01-29-2011 1600",NA
"01-29-2011 1700",NA
"01-29-2011 1800",NA
"01-29-2011 1900",NA
"01-29-2011 2000",NA
"01-29-2011 2100",NA
"01-29-2011 2200",NA
"01-29-2011 2300",NA
"01-30-2011 0000",NA
"01-30-2011 0100",NA
"01-30-2011 0200",NA
"01-30-2011 0300",NA
"01-30-2011 0400",NA
"01-30-2011 0500",NA
"01-30-2011 0600",NA
"01-30-2011 0700",NA
"01-30-2011 0800",NA
"01-30-2011 0900",NA
"01-30-2011 1000",NA
"01-30-2011 1100",NA
"01-30-2011 1200",NA
"01-30-2011 1300",NA
"01-30-2011 1400",NA
"01-30-2011 1500",NA
"01-30-2011 1600",NA
"01-30-2011 1700",NA
"01-30-2011 1800",NA
"01-30-2011 1900",NA
"01-30-2011 2000",NA
"01-30-2011 2100",NA
"01-30-2011 2200",NA
"01-30-2011 2300",NA
"01-31-2011 0000",NA
"01-31-2011 0100",NA
"01-31-2011 0200",NA
"01-31-2011 0300",NA
"01-31-2011 0400",NA
"01-31-2011 0500",NA
"01-31-2011 0600",NA
"01-31-2011 0700",NA
"01-31-2011 0800",NA
"01-31-2011 0900",NA
"01-31-2011 1000",NA
"01-31-2011 1100",NA
"01-31-2011 1200",NA
"01-31-2011 1300",NA
"01-31-2011 1400",NA
"01-31-2011 1500",NA
"01-31-2011 1600",NA
"01-31-2011 1700",NA
