#date+time,068-atp
"01-01-2023 0000",18.0
"01-01-2023 0100",17.2
"01-01-2023 0200",15.3
"01-01-2023 0300",15.3
"01-01-2023 0400",15.9
"01-01-2023 0500",16.5
"01-01-2023 0600",16.7
"01-01-2023 0700",16.5
"01-01-2023 0800",17.1
"01-01-2023 0900",17.2
"01-01-2023 1000",17.1
"01-01-2023 1100",16.9
"01-01-2023 1200",16.5
"01-01-2023 1300",16.3
"01-01-2023 1400",16.8
"01-01-2023 1500",17.7
"01-01-2023 1600",18.1
"01-01-2023 1700",18.4
"01-01-2023 1800",18.8
"01-01-2023 1900",19.9
"01-01-2023 2000",19.9
"01-01-2023 2100",19.7
"01-01-2023 2200",20.5
"01-01-2023 2300",20.5
"01-02-2023 0000",19.7
"01-02-2023 0100",19.5
"01-02-2023 0200",19.0
"01-02-2023 0300",19.1
"01-02-2023 0400",18.6
"01-02-2023 0500",18.8
"01-02-2023 0600",18.9
"01-02-2023 0700",18.7
"01-02-2023 0800",18.8
"01-02-2023 0900",19.2
"01-02-2023 1000",18.8
"01-02-2023 1100",19.0
"01-02-2023 1200",18.6
"01-02-2023 1300",19.0
"01-02-2023 1400",19.0
"01-02-2023 1500",19.2
"01-02-2023 1600",19.6
"01-02-2023 1700",20.8
"01-02-2023 1800",21.0
"01-02-2023 1900",21.7
"01-02-2023 2000",21.5
"01-02-2023 2100",21.6
"01-02-2023 2200",21.3
"01-02-2023 2300",21.0
"01-03-2023 0000",21.1
"01-03-2023 0100",21.1
"01-03-2023 0200",20.2
"01-03-2023 0300",20.2
"01-03-2023 0400",19.8
"01-03-2023 0500",19.6
"01-03-2023 0600",19.7
"01-03-2023 0700",19.6
"01-03-2023 0800",19.6
"01-03-2023 0900",20.5
"01-03-2023 1000",19.7
"01-03-2023 1100",19.7
"01-03-2023 1200",19.4
"01-03-2023 1300",20.0
"01-03-2023 1400",20.0
"01-03-2023 1500",19.6
"01-03-2023 1600",20.9
"01-03-2023 1700",21.2
"01-03-2023 1800",20.7
"01-03-2023 1900",21.0
"01-03-2023 2000",22.5
"01-03-2023 2100",23.1
"01-03-2023 2200",23.1
"01-03-2023 2300",21.9
"01-04-2023 0000",20.6
"01-04-2023 0100",19.4
"01-04-2023 0200",19.3
"01-04-2023 0300",19.5
"01-04-2023 0400",19.2
"01-04-2023 0500",18.5
"01-04-2023 0600",17.8
"01-04-2023 0700",17.9
"01-04-2023 0800",18.1
"01-04-2023 0900",17.8
"01-04-2023 1000",15.6
"01-04-2023 1100",15.1
"01-04-2023 1200",15.7
"01-04-2023 1300",14.6
"01-04-2023 1400",13.7
"01-04-2023 1500",16.6
"01-04-2023 1600",18.3
"01-04-2023 1700",19.8
"01-04-2023 1800",21.5
"01-04-2023 1900",22.4
"01-04-2023 2000",20.4
"01-04-2023 2100",20.9
"01-04-2023 2200",20.1
"01-04-2023 2300",20.0
"01-05-2023 0000",18.5
"01-05-2023 0100",18.1
"01-05-2023 0200",18.0
"01-05-2023 0300",18.1
"01-05-2023 0400",18.0
"01-05-2023 0500",18.1
"01-05-2023 0600",17.7
"01-05-2023 0700",17.6
"01-05-2023 0800",16.8
"01-05-2023 0900",16.9
"01-05-2023 1000",13.4
"01-05-2023 1100",13.7
"01-05-2023 1200",15.5
"01-05-2023 1300",15.0
"01-05-2023 1400",15.0
"01-05-2023 1500",14.2
"01-05-2023 1600",16.7
"01-05-2023 1700",17.5
"01-05-2023 1800",19.6
"01-05-2023 1900",19.0
"01-05-2023 2000",19.2
"01-05-2023 2100",19.2
"01-05-2023 2200",18.8
"01-05-2023 2300",18.6
"01-06-2023 0000",18.0
"01-06-2023 0100",17.8
"01-06-2023 0200",17.9
"01-06-2023 0300",17.9
"01-06-2023 0400",18.2
"01-06-2023 0500",18.2
"01-06-2023 0600",18.4
"01-06-2023 0700",18.1
"01-06-2023 0800",17.9
"01-06-2023 0900",17.9
"01-06-2023 1000",18.0
"01-06-2023 1100",18.0
"01-06-2023 1200",17.5
"01-06-2023 1300",17.8
"01-06-2023 1400",18.3
"01-06-2023 1500",19.4
"01-06-2023 1600",20.2
"01-06-2023 1700",21.0
"01-06-2023 1800",21.7
"01-06-2023 1900",22.1
"01-06-2023 2000",22.0
"01-06-2023 2100",21.7
"01-06-2023 2200",21.3
"01-06-2023 2300",20.8
"01-07-2023 0000",19.8
"01-07-2023 0100",19.3
"01-07-2023 0200",19.1
