#date+time,068-atp
"01-10-2009 1100",RM
"01-10-2009 1200",RM
"01-10-2009 1300",RM
"01-10-2009 1400",RM
"01-10-2009 1500",RM
"01-10-2009 1600",RM
"01-10-2009 1700",RM
"01-10-2009 1800",RM
"01-10-2009 1900",RM
"01-10-2009 2000",RM
"01-10-2009 2100",RM
"01-10-2009 2200",RM
"01-10-2009 2300",RM
"01-11-2009 0000",RM
"01-11-2009 0100",RM
"01-11-2009 0200",RM
"01-11-2009 0300",RM
"01-11-2009 0400",RM
"01-11-2009 0500",RM
"01-11-2009 0600",RM
"01-11-2009 0700",RM
"01-11-2009 0800",RM
"01-11-2009 0900",RM
"01-11-2009 1000",RM
"01-11-2009 1100",RM
"01-11-2009 1200",RM
"01-11-2009 1300",RM
"01-11-2009 1400",RM
"01-11-2009 1500",RM
"01-11-2009 1600",RM
"01-11-2009 1700",RM
"01-11-2009 1800",RM
"01-11-2009 1900",RM
"01-11-2009 2000",RM
"01-11-2009 2100",RM
"01-11-2009 2200",RM
"01-11-2009 2300",RM
"01-12-2009 0000",RM
"01-12-2009 0100",RM
"01-12-2009 0200",RM
"01-12-2009 0300",RM
"01-12-2009 0400",RM
"01-12-2009 0500",RM
"01-12-2009 0600",RM
"01-12-2009 0700",RM
"01-12-2009 0800",RM
"01-12-2009 0900",RM
"01-12-2009 1000",RM
"01-12-2009 1100",RM
"01-12-2009 1200",RM
"01-12-2009 1300",RM
"01-12-2009 1400",RM
"01-12-2009 1500",RM
"01-12-2009 1600",RM
"01-12-2009 1700",RM
"01-12-2009 1800",RM
"01-12-2009 1900",RM
"01-12-2009 2000",RM
"01-12-2009 2100",RM
"01-12-2009 2200",RM
"01-12-2009 2300",RM
"01-13-2009 0000",RM
"01-13-2009 0100",RM
"01-13-2009 0200",RM
"01-13-2009 0300",RM
"01-13-2009 0400",RM
"01-13-2009 0500",RM
"01-13-2009 0600",RM
"01-13-2009 0700",RM
"01-13-2009 0800",RM
"01-13-2009 0900",RM
"01-13-2009 1000",RM
"01-13-2009 1100",RM
"01-13-2009 1200",RM
"01-13-2009 1300",RM
"01-13-2009 1400",RM
"01-13-2009 1500",RM
"01-13-2009 1600",RM
"01-13-2009 1700",RM
"01-13-2009 1800",RM
"01-13-2009 1900",RM
"01-13-2009 2000",RM
"01-13-2009 2100",RM
"01-13-2009 2200",RM
"01-13-2009 2300",RM
"01-14-2009 0000",RM
"01-14-2009 0100",RM
"01-14-2009 0200",RM
"01-14-2009 0300",RM
"01-14-2009 0400",RM
"01-14-2009 0500",RM
"01-14-2009 0600",RM
"01-14-2009 0700",RM
"01-14-2009 0800",RM
"01-14-2009 0900",RM
"01-14-2009 1000",RM
"01-14-2009 1100",RM
"01-14-2009 1200",RM
"01-14-2009 1300",RM
"01-14-2009 1400",RM
"01-14-2009 1500",RM
"01-14-2009 1600",RM
"01-14-2009 1700",RM
"01-14-2009 1800",RM
"01-14-2009 1900",RM
"01-14-2009 2000",RM
"01-14-2009 2100",RM
"01-14-2009 2200",RM
"01-14-2009 2300",RM
"01-15-2009 0000",RM
"01-15-2009 0100",RM
"01-15-2009 0200",RM
"01-15-2009 0300",RM
"01-15-2009 0400",RM
"01-15-2009 0500",RM
"01-15-2009 0600",RM
"01-15-2009 0700",RM
"01-15-2009 0800",RM
"01-15-2009 0900",RM
"01-15-2009 1000",RM
"01-15-2009 1100",RM
"01-15-2009 1200",RM
"01-15-2009 1300",RM
"01-15-2009 1400",RM
"01-15-2009 1500",RM
"01-15-2009 1600",RM
"01-15-2009 1700",RM
"01-15-2009 1800",RM
"01-15-2009 1900",RM
"01-15-2009 2000",RM
"01-15-2009 2100",RM
"01-15-2009 2200",RM
"01-15-2009 2300",RM
"01-16-2009 0000",RM
"01-16-2009 0100",RM
"01-16-2009 0200",RM
"01-16-2009 0300",RM
"01-16-2009 0400",RM
"01-16-2009 0500",RM
"01-16-2009 0600",RM
"01-16-2009 0700",RM
"01-16-2009 0800",RM
"01-16-2009 0900",RM
"01-16-2009 1000",RM
"01-16-2009 1100",RM
"01-16-2009 1200",RM
"01-16-2009 1300",RM
"01-16-2009 1400",RM
"01-16-2009 1500",RM
"01-16-2009 1600",RM
"01-16-2009 1700",RM
"01-16-2009 1800",RM
"01-16-2009 1900",RM
"01-16-2009 2000",RM
"01-16-2009 2100",RM
"01-16-2009 2200",RM
"01-16-2009 2300",RM
"01-17-2009 0000",RM
"01-17-2009 0100",RM
"01-17-2009 0200",RM
"01-17-2009 0300",RM
"01-17-2009 0400",RM
"01-17-2009 0500",RM
"01-17-2009 0600",RM
"01-17-2009 0700",RM
"01-17-2009 0800",RM
"01-17-2009 0900",RM
"01-17-2009 1000",RM
"01-17-2009 1100",RM
"01-17-2009 1200",RM
"01-17-2009 1300",RM
"01-17-2009 1400",RM
"01-17-2009 1500",RM
"01-17-2009 1600",RM
"01-17-2009 1700",RM
"01-17-2009 1800",RM
"01-17-2009 1900",RM
"01-17-2009 2000",RM
"01-17-2009 2100",RM
"01-17-2009 2200",RM
"01-17-2009 2300",RM
"01-18-2009 0000",RM
"01-18-2009 0100",RM
"01-18-2009 0200",RM
"01-18-2009 0300",RM
"01-18-2009 0400",RM
"01-18-2009 0500",RM
"01-18-2009 0600",RM
"01-18-2009 0700",RM
"01-18-2009 0800",RM
"01-18-2009 0900",RM
"01-18-2009 1000",RM
"01-18-2009 1100",RM
"01-18-2009 1200",RM
"01-18-2009 1300",RM
"01-18-2009 1400",RM
"01-18-2009 1500",RM
"01-18-2009 1600",RM
"01-18-2009 1700",RM
"01-18-2009 1800",RM
"01-18-2009 1900",RM
"01-18-2009 2000",RM
"01-18-2009 2100",RM
"01-18-2009 2200",RM
"01-18-2009 2300",RM
"01-19-2009 0000",RM
"01-19-2009 0100",RM
"01-19-2009 0200",RM
"01-19-2009 0300",RM
"01-19-2009 0400",RM
"01-19-2009 0500",RM
"01-19-2009 0600",RM
"01-19-2009 0700",RM
"01-19-2009 0800",RM
"01-19-2009 0900",RM
"01-19-2009 1000",RM
"01-19-2009 1100",RM
"01-19-2009 1200",RM
"01-19-2009 1300",RM
"01-19-2009 1400",RM
"01-19-2009 1500",RM
"01-19-2009 1600",RM
"01-19-2009 1700",RM
"01-19-2009 1800",RM
"01-19-2009 1900",RM
"01-19-2009 2000",RM
"01-19-2009 2100",RM
"01-19-2009 2200",RM
"01-19-2009 2300",RM
"01-20-2009 0000",RM
"01-20-2009 0100",RM
"01-20-2009 0200",RM
"01-20-2009 0300",RM
"01-20-2009 0400",RM
"01-20-2009 0500",RM
"01-20-2009 0600",RM
"01-20-2009 0700",RM
"01-20-2009 0800",RM
"01-20-2009 0900",RM
"01-20-2009 1000",RM
"01-20-2009 1100",RM
"01-20-2009 1200",RM
"01-20-2009 1300",RM
"01-20-2009 1400",RM
"01-20-2009 1500",RM
"01-20-2009 1600",RM
"01-20-2009 1700",RM
"01-20-2009 1800",RM
"01-20-2009 1900",RM
"01-20-2009 2000",RM
"01-20-2009 2100",RM
"01-20-2009 2200",RM
"01-20-2009 2300",RM
"01-21-2009 0000",RM
"01-21-2009 0100",RM
"01-21-2009 0200",RM
"01-21-2009 0300",RM
"01-21-2009 0400",RM
"01-21-2009 0500",RM
"01-21-2009 0600",RM
"01-21-2009 0700",RM
"01-21-2009 0800",RM
"01-21-2009 0900",RM
"01-21-2009 1000",RM
"01-21-2009 1100",RM
"01-21-2009 1200",RM
"01-21-2009 1300",RM
"01-21-2009 1400",RM
"01-21-2009 1500",RM
"01-21-2009 1600",RM
"01-21-2009 1700",RM
"01-21-2009 1800",RM
"01-21-2009 1900",RM
"01-21-2009 2000",RM
"01-21-2009 2100",RM
"01-21-2009 2200",RM
"01-21-2009 2300",RM
"01-22-2009 0000",RM
"01-22-2009 0100",RM
"01-22-2009 0200",RM
"01-22-2009 0300",RM
"01-22-2009 0400",RM
"01-22-2009 0500",RM
"01-22-2009 0600",RM
"01-22-2009 0700",RM
"01-22-2009 0800",RM
"01-22-2009 0900",RM
"01-22-2009 1000",RM
"01-22-2009 1100",RM
"01-22-2009 1200",RM
"01-22-2009 1300",RM
"01-22-2009 1400",RM
"01-22-2009 1500",RM
"01-22-2009 1600",RM
