#date+time,013-wtp
"01-10-2020 1100",NA
"01-10-2020 1200",NA
"01-10-2020 1300",NA
"01-10-2020 1400",NA
"01-10-2020 1500",NA
"01-10-2020 1600",NA
"01-10-2020 1700",NA
"01-10-2020 1800",NA
"01-10-2020 1900",NA
"01-10-2020 2000",NA
"01-10-2020 2100",NA
"01-10-2020 2200",NA
"01-10-2020 2300",NA
"01-11-2020 0000",NA
"01-11-2020 0100",NA
"01-11-2020 0200",NA
"01-11-2020 0300",NA
"01-11-2020 0400",NA
"01-11-2020 0500",NA
"01-11-2020 0600",NA
"01-11-2020 0700",NA
"01-11-2020 0800",NA
"01-11-2020 0900",NA
"01-11-2020 1000",NA
"01-11-2020 1100",NA
"01-11-2020 1200",NA
"01-11-2020 1300",NA
"01-11-2020 1400",NA
"01-11-2020 1500",NA
"01-11-2020 1600",NA
"01-11-2020 1700",NA
"01-11-2020 1800",NA
"01-11-2020 1900",NA
"01-11-2020 2000",NA
"01-11-2020 2100",NA
"01-11-2020 2200",NA
"01-11-2020 2300",NA
"01-12-2020 0000",NA
"01-12-2020 0100",NA
"01-12-2020 0200",NA
"01-12-2020 0300",NA
"01-12-2020 0400",NA
"01-12-2020 0500",NA
"01-12-2020 0600",NA
"01-12-2020 0700",NA
"01-12-2020 0800",NA
"01-12-2020 0900",NA
"01-12-2020 1000",NA
"01-12-2020 1100",NA
"01-12-2020 1200",NA
"01-12-2020 1300",NA
"01-12-2020 1400",NA
"01-12-2020 1500",NA
"01-12-2020 1600",NA
"01-12-2020 1700",NA
"01-12-2020 1800",NA
"01-12-2020 1900",NA
"01-12-2020 2000",NA
"01-12-2020 2100",NA
"01-12-2020 2200",NA
"01-12-2020 2300",NA
"01-13-2020 0000",NA
"01-13-2020 0100",NA
"01-13-2020 0200",NA
"01-13-2020 0300",NA
"01-13-2020 0400",NA
"01-13-2020 0500",NA
"01-13-2020 0600",NA
"01-13-2020 0700",NA
"01-13-2020 0800",NA
"01-13-2020 0900",NA
"01-13-2020 1000",NA
"01-13-2020 1100",NA
"01-13-2020 1200",NA
"01-13-2020 1300",NA
"01-13-2020 1400",NA
"01-13-2020 1500",NA
"01-13-2020 1600",NA
"01-13-2020 1700",NA
"01-13-2020 1800",NA
"01-13-2020 1900",NA
"01-13-2020 2000",NA
"01-13-2020 2100",NA
"01-13-2020 2200",NA
"01-13-2020 2300",NA
"01-14-2020 0000",NA
"01-14-2020 0100",NA
"01-14-2020 0200",NA
"01-14-2020 0300",NA
"01-14-2020 0400",NA
"01-14-2020 0500",NA
"01-14-2020 0600",NA
"01-14-2020 0700",NA
"01-14-2020 0800",NA
"01-14-2020 0900",NA
"01-14-2020 1000",NA
"01-14-2020 1100",NA
"01-14-2020 1200",NA
"01-14-2020 1300",NA
"01-14-2020 1400",NA
"01-14-2020 1500",NA
"01-14-2020 1600",NA
"01-14-2020 1700",NA
"01-14-2020 1800",NA
"01-14-2020 1900",NA
"01-14-2020 2000",NA
"01-14-2020 2100",NA
"01-14-2020 2200",NA
"01-14-2020 2300",NA
"01-15-2020 0000",NA
"01-15-2020 0100",NA
"01-15-2020 0200",NA
"01-15-2020 0300",NA
"01-15-2020 0400",NA
"01-15-2020 0500",NA
"01-15-2020 0600",NA
"01-15-2020 0700",NA
"01-15-2020 0800",NA
"01-15-2020 0900",NA
"01-15-2020 1000",NA
"01-15-2020 1100",NA
"01-15-2020 1200",NA
"01-15-2020 1300",NA
"01-15-2020 1400",NA
"01-15-2020 1500",NA
"01-15-2020 1600",NA
"01-15-2020 1700",NA
"01-15-2020 1800",NA
"01-15-2020 1900",NA
"01-15-2020 2000",NA
"01-15-2020 2100",NA
"01-15-2020 2200",NA
"01-15-2020 2300",NA
"01-16-2020 0000",NA
"01-16-2020 0100",NA
"01-16-2020 0200",NA
"01-16-2020 0300",NA
"01-16-2020 0400",NA
"01-16-2020 0500",NA
"01-16-2020 0600",NA
"01-16-2020 0700",NA
"01-16-2020 0800",NA
"01-16-2020 0900",NA
"01-16-2020 1000",NA
"01-16-2020 1100",NA
"01-16-2020 1200",NA
"01-16-2020 1300",NA
"01-16-2020 1400",NA
"01-16-2020 1500",NA
"01-16-2020 1600",NA
"01-16-2020 1700",NA
"01-16-2020 1800",NA
"01-16-2020 1900",NA
"01-16-2020 2000",NA
"01-16-2020 2100",NA
"01-16-2020 2200",NA
"01-16-2020 2300",NA
"01-17-2020 0000",NA
"01-17-2020 0100",NA
"01-17-2020 0200",NA
"01-17-2020 0300",NA
"01-17-2020 0400",NA
"01-17-2020 0500",NA
"01-17-2020 0600",NA
"01-17-2020 0700",NA
"01-17-2020 0800",NA
"01-17-2020 0900",NA
"01-17-2020 1000",NA
"01-17-2020 1100",NA
"01-17-2020 1200",NA
"01-17-2020 1300",NA
"01-17-2020 1400",NA
"01-17-2020 1500",NA
"01-17-2020 1600",NA
"01-17-2020 1700",NA
"01-17-2020 1800",NA
"01-17-2020 1900",NA
"01-17-2020 2000",NA
"01-17-2020 2100",NA
"01-17-2020 2200",NA
"01-17-2020 2300",NA
"01-18-2020 0000",NA
"01-18-2020 0100",NA
"01-18-2020 0200",NA
"01-18-2020 0300",NA
"01-18-2020 0400",NA
"01-18-2020 0500",NA
"01-18-2020 0600",NA
"01-18-2020 0700",NA
"01-18-2020 0800",NA
"01-18-2020 0900",NA
"01-18-2020 1000",NA
"01-18-2020 1100",NA
"01-18-2020 1200",NA
"01-18-2020 1300",NA
"01-18-2020 1400",NA
"01-18-2020 1500",NA
"01-18-2020 1600",NA
"01-18-2020 1700",NA
"01-18-2020 1800",NA
"01-18-2020 1900",NA
"01-18-2020 2000",NA
"01-18-2020 2100",NA
"01-18-2020 2200",NA
"01-18-2020 2300",NA
"01-19-2020 0000",NA
"01-19-2020 0100",NA
"01-19-2020 0200",NA
"01-19-2020 0300",NA
"01-19-2020 0400",NA
"01-19-2020 0500",NA
"01-19-2020 0600",NA
"01-19-2020 0700",NA
"01-19-2020 0800",NA
"01-19-2020 0900",NA
"01-19-2020 1000",NA
"01-19-2020 1100",NA
"01-19-2020 1200",NA
"01-19-2020 1300",NA
"01-19-2020 1400",NA
"01-19-2020 1500",NA
"01-19-2020 1600",NA
"01-19-2020 1700",NA
"01-19-2020 1800",NA
"01-19-2020 1900",NA
"01-19-2020 2000",NA
"01-19-2020 2100",NA
"01-19-2020 2200",NA
"01-19-2020 2300",NA
"01-20-2020 0000",NA
"01-20-2020 0100",NA
"01-20-2020 0200",NA
"01-20-2020 0300",NA
"01-20-2020 0400",NA
"01-20-2020 0500",NA
"01-20-2020 0600",NA
"01-20-2020 0700",NA
"01-20-2020 0800",NA
"01-20-2020 0900",NA
"01-20-2020 1000",NA
"01-20-2020 1100",NA
"01-20-2020 1200",NA
"01-20-2020 1300",NA
"01-20-2020 1400",NA
"01-20-2020 1500",NA
"01-20-2020 1600",NA
"01-20-2020 1700",NA
"01-20-2020 1800",NA
"01-20-2020 1900",NA
"01-20-2020 2000",NA
"01-20-2020 2100",NA
"01-20-2020 2200",NA
"01-20-2020 2300",NA
"01-21-2020 0000",NA
"01-21-2020 0100",NA
"01-21-2020 0200",NA
"01-21-2020 0300",NA
"01-21-2020 0400",NA
"01-21-2020 0500",NA
"01-21-2020 0600",NA
"01-21-2020 0700",NA
"01-21-2020 0800",NA
"01-21-2020 0900",NA
"01-21-2020 1000",NA
"01-21-2020 1100",NA
"01-21-2020 1200",NA
"01-21-2020 1300",NA
"01-21-2020 1400",NA
"01-21-2020 1500",NA
"01-21-2020 1600",NA
