dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
01-08-2019 0700,18.6,17.0
01-08-2019 0800,18.2,17.0
01-08-2019 0900,17.8,16.9
01-08-2019 1000,17.7,16.9
01-08-2019 1100,17.5,16.9
01-08-2019 1200,17.9,16.8
01-08-2019 1300,17.3,16.7
01-08-2019 1400,17.7,16.7
01-08-2019 1500,19.0,16.8
01-08-2019 1600,18.9,16.9
01-08-2019 1700,19.5,17.2
01-08-2019 1800,19.6,17.4
01-08-2019 1900,19.7,17.8
01-08-2019 2000,20.5,18.2
01-08-2019 2100,21.1,18.4
01-08-2019 2200,20.8,18.5
01-08-2019 2300,20.0,19.1
01-09-2019 0000,19.1,19.0
01-09-2019 0100,18.8,18.9
01-09-2019 0200,18.8,19.2
01-09-2019 0300,19.3,18.8
01-09-2019 0400,19.4,18.5
01-09-2019 0500,18.9,18.3
01-09-2019 0600,18.3,18.3
01-09-2019 0700,18.7,18.5
01-09-2019 0800,18.2,18.5
01-09-2019 0900,18.1,18.4
01-09-2019 1000,17.2,18.3
01-09-2019 1100,16.2,18.1
01-09-2019 1200,15.6,18.0
01-09-2019 1300,15.0,17.9
01-09-2019 1400,14.4,17.7
01-09-2019 1500,15.4,17.7
01-09-2019 1600,15.9,17.8
01-09-2019 1700,16.6,17.7
01-09-2019 1800,16.6,18.0
01-09-2019 1900,16.0,18.2
01-09-2019 2000,15.9,18.5
01-09-2019 2100,16.1,18.6
01-09-2019 2200,15.9,18.5
01-09-2019 2300,15.9,18.2
01-10-2019 0000,15.7,18.1
01-10-2019 0100,15.9,17.9
01-10-2019 0200,16.0,17.7
01-10-2019 0300,15.7,17.5
01-10-2019 0400,15.4,17.3
01-10-2019 0500,15.4,17.2
01-10-2019 0600,15.2,17.2
01-10-2019 0700,15.0,17.1
01-10-2019 0800,14.7,16.8
01-10-2019 0900,14.7,17.0
01-10-2019 1000,13.5,17.0
01-10-2019 1100,13.3,16.9
01-10-2019 1200,13.4,16.5
01-10-2019 1300,13.4,16.2
01-10-2019 1400,13.2,16.3
01-10-2019 1500,13.7,16.5
01-10-2019 1600,14.6,16.7
01-10-2019 1700,14.9,16.8
01-10-2019 1800,15.1,16.9
01-10-2019 1900,15.3,17.6
01-10-2019 2000,15.5,17.8
01-10-2019 2100,16.2,17.8
01-10-2019 2200,16.6,17.9
01-10-2019 2300,16.5,17.8
01-11-2019 0000,16.0,17.7
01-11-2019 0100,16.1,17.5
01-11-2019 0200,16.1,17.4
01-11-2019 0300,16.2,17.3
01-11-2019 0400,16.0,17.5
01-11-2019 0500,16.0,17.6
01-11-2019 0600,16.7,17.7
01-11-2019 0700,17.0,17.3
01-11-2019 0800,17.2,17.1
01-11-2019 0900,17.4,17.0
01-11-2019 1000,17.6,17.1
01-11-2019 1100,17.5,17.1
