#date+time
01-12-2020 1500
01-12-2020 1600
01-12-2020 1700
01-12-2020 1800
01-12-2020 1900
01-12-2020 2000
01-12-2020 2100
01-12-2020 2200
01-12-2020 2300
01-13-2020 0000
01-13-2020 0100
01-13-2020 0200
01-13-2020 0300
01-13-2020 0400
01-13-2020 0500
01-13-2020 0600
01-13-2020 0700
01-13-2020 0800
01-13-2020 0900
01-13-2020 1000
01-13-2020 1100
01-13-2020 1200
01-13-2020 1300
01-13-2020 1400
01-13-2020 1500
01-13-2020 1600
01-13-2020 1700
01-13-2020 1800
01-13-2020 1900
01-13-2020 2000
01-13-2020 2100
01-13-2020 2200
01-13-2020 2300
01-14-2020 0000
01-14-2020 0100
01-14-2020 0200
01-14-2020 0300
01-14-2020 0400
01-14-2020 0500
01-14-2020 0600
01-14-2020 0700
01-14-2020 0800
01-14-2020 0900
01-14-2020 1000
01-14-2020 1100
01-14-2020 1200
01-14-2020 1300
01-14-2020 1400
01-14-2020 1500
01-14-2020 1600
01-14-2020 1700
01-14-2020 1800
01-14-2020 1900
01-14-2020 2000
01-14-2020 2100
01-14-2020 2200
01-14-2020 2300
01-15-2020 0000
01-15-2020 0100
01-15-2020 0200
01-15-2020 0300
01-15-2020 0400
01-15-2020 0500
01-15-2020 0600
01-15-2020 0700
01-15-2020 0800
01-15-2020 0900
01-15-2020 1000
01-15-2020 1100
01-15-2020 1200
01-15-2020 1300
01-15-2020 1400
01-15-2020 1500
01-15-2020 1600
01-15-2020 1700
01-15-2020 1800
01-15-2020 1900
01-15-2020 2000
01-15-2020 2100
01-15-2020 2200
01-15-2020 2300
01-16-2020 0000
01-16-2020 0100
01-16-2020 0200
01-16-2020 0300
01-16-2020 0400
01-16-2020 0500
01-16-2020 0600
01-16-2020 0700
01-16-2020 0800
01-16-2020 0900
01-16-2020 1000
01-16-2020 1100
01-16-2020 1200
01-16-2020 1300
01-16-2020 1400
01-16-2020 1500
01-16-2020 1600
01-16-2020 1700
01-16-2020 1800
01-16-2020 1900
01-16-2020 2000
01-16-2020 2100
01-16-2020 2200
01-16-2020 2300
01-17-2020 0000
01-17-2020 0100
01-17-2020 0200
01-17-2020 0300
01-17-2020 0400
01-17-2020 0500
01-17-2020 0600
01-17-2020 0700
01-17-2020 0800
01-17-2020 0900
01-17-2020 1000
01-17-2020 1100
01-17-2020 1200
01-17-2020 1300
01-17-2020 1400
01-17-2020 1500
01-17-2020 1600
01-17-2020 1700
01-17-2020 1800
01-17-2020 1900
01-17-2020 2000
01-17-2020 2100
01-17-2020 2200
01-17-2020 2300
01-18-2020 0000
01-18-2020 0100
01-18-2020 0200
01-18-2020 0300
01-18-2020 0400
01-18-2020 0500
01-18-2020 0600
01-18-2020 0700
01-18-2020 0800
01-18-2020 0900
01-18-2020 1000
01-18-2020 1100
01-18-2020 1200
01-18-2020 1300
01-18-2020 1400
01-18-2020 1500
01-18-2020 1600
01-18-2020 1700
01-18-2020 1800
01-18-2020 1900
01-18-2020 2000
01-18-2020 2100
01-18-2020 2200
01-18-2020 2300
01-19-2020 0000
01-19-2020 0100
01-19-2020 0200
01-19-2020 0300
01-19-2020 0400
01-19-2020 0500
01-19-2020 0600
01-19-2020 0700
01-19-2020 0800
